,대여소_ID,주소1,주소2,주소,분류,용도지역,
184,ST-1689,서울특별시 강서구 마곡중앙로 76,힐스테이트에코마곡역,서울 강서구 마곡중앙로 76,상업지역,상업지역,
185,ST-1688,서울특별시 강서구 공항대로 227,마곡센트럴타워 1차,서울 강서구 공항대로 227,상업지역,상업지역,
186,ST-1676,서울특별시 강서구 발산로 24,강서수산물도매시장,서울 강서구 발산로 24,상업지역,상업지역,
187,ST-1647,서울특별시 강서구 방화대로5길 7,송정중학교,서울 강서구 방화대로5길 7,주거지역,주거지역,
188,ST-1646,서울특별시 강서구 화곡로63가길 92,등촌9단지,서울 강서구 화곡로63가길 92,주거지역,주거지역,
189,ST-1645,서울특별시 강서구 방화대로7길 6,마곡13단지,서울 강서구 방화대로7길 6,주거지역,주거지역,
190,ST-1520,서울특별시 강서구 까치산로24길 47,KC 대학교,서울 강서구 까치산로24길 47,주거지역,주거지역,
191,ST-1519,서울특별시 강서구 공항대로 376,KBS 스포츠월드,서울 강서구 공항대로 376,주거지역,주거지역,
192,ST-1518,서울특별시 강서구 발산로 40,농산식품공사 (강서지사),서울 강서구 발산로 40,상업지역,상업지역,
193,ST-1517,서울특별시 강서구 마곡중앙로 36,마곡엠밸리 15단지(1502동) 건너편,서울 강서구 마곡중앙로 36,주거지역,주거지역,
194,ST-1516,서울특별시 강서구 강서로 409,국민건강보험공단(강서지사) 건너편,서울 강서구 강서로 409,주거지역,주거지역,
195,ST-1515,서울특별시 강서구 양천로 22,개화산역 2번 출구,서울 강서구 양천로 22,주거지역,주거지역,
196,ST-1514,서울특별시 강서구 수명로1길 16,마곡수명산파크4단지아파트 401동 앞,서울 강서구 수명로1길 16,주거지역,주거지역,
197,ST-1513,서울특별시 강서구 개화동로 495,공항고등학교 정문,서울 강서구 개화동로 495,주거지역,주거지역,
198,ST-1512,서울특별시 강서구 공항대로 453,대한항공 인력개발센터,서울 강서구 공항대로 453,주거지역,주거지역,
199,ST-1511,서울특별시 강서구 공항대로 389 부민병원,,서울 강서구 공항대로 389,상업지역,상업지역,
200,ST-1510,서울특별시 강서구 공항대로 411,강서구청사거리(SH타워),서울 강서구 공항대로 411,상업지역,상업지역,
201,ST-1509,서울특별시 강서구 허준로 202,가양3동 주민센터,서울 강서구 허준로 202,주거지역,주거지역,
202,ST-1508,서울특별시 강서구 양천로 696,염창동 새마을금고 건너편 (모닝글로리),서울 강서구 양천로 696,상업지역,상업지역,
203,ST-1507,서울특별시 강서구 공항대로 571,강서구보건소 (삼성디지털 프라자),서울 강서구 공항대로 571,주거지역,주거지역,
204,ST-1506,서울특별시 강서구 공항대로 625,염창역 1번 출구,서울 강서구 공항대로 625,주거지역,주거지역,
205,ST-1402,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지,,서울 강서구 마곡중앙1로 72,주거지역,주거지역,
206,ST-1352,서울특별시 강서구 내발산동 751-3,,서울 강서구 내발산동 751-3,주거지역,주거지역,
207,ST-1351,서울특별시 강서구 강서로62길 48,강서구립등빛도서관,서울 강서구 강서로62길 48,주거지역,주거지역,
208,ST-1338,서울특별시 강서구 마곡중앙5로 58,마곡중학교 후문,서울 강서구 마곡중앙5로 58,주거지역,주거지역,
209,ST-1254,서울특별시 강서구 방화대로34길 65,방화동 강서기동대앞,서울 강서구 방화대로34길 65,주거지역,주거지역,
210,ST-1253,서울특별시 강서구 마곡서1로 68,공항초등학교건너편,서울 강서구 마곡서1로 68,주거지역,주거지역,
211,ST-1252,서울특별시 강서구 남부순환로 171,강서면허시험장앞,서울 강서구 남부순환로 171,주거지역,주거지역,
212,ST-1251,서울특별시 강서구 양천로 지하 341,양천향교역 7번출구 앞,서울 강서구 양천로 341,상업지역,상업지역,
213,ST-1250,서울특별시 강서구 양천로53길 30,서서울모터리움앞,서울 강서구 양천로53길 30,상업지역,상업지역,
214,ST-1249,서울특별시 강서구 양천로 지하 485,가양역 8번출구,서울 강서구 양천로 485,상업지역,상업지역,
215,ST-1069,서울특별시 강서구 화곡로 302,강서구청,서울 강서구 화곡로 302,주거지역,주거지역,
216,ST-1067,서울특별시 강서구 가양동 1458-15,기쁜우리복지관,서울 강서구 가양동 1458-15,주거지역,주거지역,
217,ST-1065,서울특별시 강서구 마곡동 797-5,,서울 강서구 마곡동 797-5,상업지역,상업지역,
218,ST-1064,서울특별시 강서구 마곡동 728-168,마곡역7번출구,서울 강서구 마곡동 728-168, ,상업지역,
219,ST-1063,서울특별시 강서구 공항대로 163 마곡역(5호선),,서울 강서구 공항대로 163,상업지역,상업지역,
220,ST-1062,서울특별시 강서구 공항대로 33 송정역(5호선),,서울 강서구 공항대로 33, ,주거지역,
221,ST-1064,서울특별시 강서구 마곡동 728-168,마곡역7번출구,서울 강서구 마곡동 728-168, ,상업지역,
222,ST-1063,서울특별시 강서구 공항대로 163 마곡역(5호선),,서울 강서구 공항대로 163, ,상업지역,
223,ST-1062,서울특별시 강서구 공항대로 33 송정역(5호선),,서울 강서구 공항대로 33, ,주거지역,
